t,phi,dphi,A,B,R,gamma_eff
0.0,0.05,0.0,0.02,0.02,0.000552778636923601,1.1976023984007997
0.025006251562890724,0.05001551716744024,0.0012349537064875345,0.01980143987655481,0.020602366804678342,0.0005530358812435576,1.197554755565816
0.05001250312578145,0.05006146528396017,0.002434172700764351,0.019604870978259175,0.021191306922017115,0.0005537983131445046,1.1975098701957494
0.07501875468867217,0.0501369733492124,0.003599451135730502,0.019410273665352952,0.02176703431003789,0.000555053525154614,1.1974676512040494
0.1000250062515629,0.050241214292027096,0.004732508892182497,0.019217628524194185,0.022329759689085016,0.0005567910531789622,1.1974280100893857
0.12503125781445362,0.05037340315438318,0.0058349948453861895,0.01902691636402345,0.022879690595749805,0.000559002247683682,1.1973908608648165
0.15003750937734434,0.050532795355889,0.006908489989140115,0.018838118213971564,0.023417031435735435,0.0005616801617463474,1.1973561199889453
0.17504376094023508,0.05071868503492625,0.007954510424114209,0.018651215320290068,0.023941983535683838,0.0005648194541979512,1.1973237062989988
0.2000500125031258,0.05093040345881071,0.008974510224141079,0.018466189143780072,0.024454745194127124,0.0005684163062598113,1.1972935409457526
0.2250562640660165,0.051167317505107446,0.009969884176555432,0.018283021357410015,0.024955511731483852,0.0005724683504506056,1.197265547330259
0.25006251562890724,0.051428828221554417,0.010941970383019521,0.018101693844119728,0.025444475538848564,0.000576974610814962,1.197239651042344
0.27506876719179796,0.051714369437115534,0.011892052770125703,0.017922188694781134,0.025921826126065067,0.000581935453088378,1.197215779800777
0.30007501875468867,0.05202340642335113,0.01282136351146849,0.01774448820629681,0.026387750169354338,0.0005873525439897831,1.1971938633950303
0.3250812703175794,0.05235543464783491,0.013731085285654834,0.01756857487987945,0.026842431557248157,0.0005932288197121327,1.197173833628712
0.35008752188047015,0.052709978564084735,0.014622353470177214,0.017394431419458664,0.027286051435965276,0.0005995684620992425,1.1971556242645074
0.37509377344336087,0.05308659042930276,0.015496258287343427,0.017222040730192744,0.02771878825490828,0.0006063768818727611,1.197139170970519
0.4001000250062516,0.05348484923472587,0.01635384674845922,0.01705138591717309,0.028140817809725112,0.0006136607100567515,1.197124411268215
0.4251062765691423,0.05390435963349459,0.01719612460430052,0.016882450284211557,0.02855231328565797,0.0006214277952524827,1.1971112844816751
0.450112528132033,0.054344750914955525,0.01802405821399614,0.016715217332750238,0.028953445300720835,0.0006296872073806581,1.1970997316881415
0.4751187796949238,0.054805676086215345,0.018838576220833368,0.01654967076096033,0.029344381945911942,0.0006384492488867854,1.1970896956701014
0.5001250312578145,0.05528681089479738,0.019640571337521343,0.016385794462867174,0.02972528882780925,0.0006477254701920954,1.1970811208683554
0.5251312828207052,0.05578785299906702,0.02043090186466564,0.016223572527710395,0.03009632910759287,0.000657528693218834,1.1970739533365973
